plan_index,line_number,motion,movement_type,pcb_x_mm,pcb_y_mm,machine_x_mm,machine_y_mm,programmed_z_mm,surface_z_machine_mm,delta_z_mm,final_z_mm,feed_mm_min,uses_surface_map
112,5,G1,movimiento_lineal,11.100000000000001,0.0,111.1,200.0,-0.1,3.2514000000000003,0.25140000000000007,3.1514,240.0,True
113,5,G1,movimiento_lineal,11.2,0.0,111.2,200.0,-0.1,3.2558,0.2558,3.1557999999999997,240.0,True
114,5,G1,movimiento_lineal,11.3,0.0,111.3,200.0,-0.1,3.2602,0.2602000000000001,3.1602,240.0,True
115,5,G1,movimiento_lineal,11.399999999999999,0.0,111.4,200.0,-0.1,3.2645999999999997,0.26459999999999995,3.1645999999999996,240.0,True
116,5,G1,movimiento_lineal,11.5,0.0,111.5,200.0,-0.1,3.269,0.269,3.169,240.0,True
117,5,G1,movimiento_lineal,11.6,0.0,111.6,200.0,-0.1,3.2734,0.27340000000000003,3.1734,240.0,True
118,5,G1,movimiento_lineal,11.7,0.0,111.7,200.0,-0.1,3.2778,0.27780000000000005,3.1778,240.0,True
119,5,G1,movimiento_lineal,11.799999999999999,0.0,111.8,200.0,-0.1,3.2822,0.2822,3.1822,240.0,True
120,5,G1,movimiento_lineal,11.9,0.0,111.9,200.0,-0.1,3.2866,0.2866000000000001,3.1866,240.0,True
121,5,G1,movimiento_lineal,12.0,0.0,112.0,200.0,-0.1,3.291,0.29100000000000004,3.191,240.0,True
122,6,G1,movimiento_lineal,12.0,0.1,112.0,200.1,-0.1,3.2922000000000002,0.2922,3.1922,240.0,True
123,6,G1,movimiento_lineal,12.0,0.2,112.0,200.2,-0.1,3.2934,0.29340000000000005,3.1934,240.0,True
124,6,G1,movimiento_lineal,12.0,0.3,112.0,200.3,-0.1,3.2946,0.29460000000000003,3.1946,240.0,True
125,6,G1,movimiento_lineal,12.0,0.4,112.0,200.4,-0.1,3.2958,0.29580000000000006,3.1957999999999998,240.0,True
126,6,G1,movimiento_lineal,12.0,0.5,112.0,200.5,-0.1,3.297,0.29700000000000004,3.197,240.0,True
127,6,G1,movimiento_lineal,12.0,0.6,112.0,200.6,-0.1,3.2982,0.2982000000000001,3.1982,240.0,True
128,6,G1,movimiento_lineal,12.0,0.7,112.0,200.7,-0.1,3.2994,0.29940000000000005,3.1994,240.0,True
129,6,G1,movimiento_lineal,12.0,0.8,112.0,200.8,-0.1,3.3006,0.30060000000000003,3.2006,240.0,True
130,6,G1,movimiento_lineal,12.0,0.9,112.0,200.9,-0.1,3.3018,0.30180000000000007,3.2018,240.0,True
131,6,G1,movimiento_lineal,12.0,1.0,112.0,201.0,-0.1,3.303,0.30300000000000005,3.203,240.0,True
132,6,G1,movimiento_lineal,12.0,1.1,112.0,201.1,-0.1,3.3054,0.30540000000000006,3.2054,240.0,True
133,6,G1,movimiento_lineal,12.0,1.2,112.0,201.2,-0.1,3.3078,0.3078,3.2077999999999998,240.0,True
134,6,G1,movimiento_lineal,12.0,1.3,112.0,201.3,-0.1,3.3102,0.31020000000000003,3.2102,240.0,True
135,6,G1,movimiento_lineal,12.0,1.4,112.0,201.4,-0.1,3.3126,0.31260000000000004,3.2126,240.0,True
136,6,G1,movimiento_lineal,12.0,1.5,112.0,201.5,-0.1,3.315,0.31500000000000006,3.215,240.0,True
137,6,G1,movimiento_lineal,12.0,1.6,112.0,201.6,-0.1,3.3174,0.31740000000000007,3.2174,240.0,True
138,6,G1,movimiento_lineal,12.0,1.7,112.0,201.7,-0.1,3.3198,0.3198000000000001,3.2197999999999998,240.0,True
139,6,G1,movimiento_lineal,12.0,1.8,112.0,201.8,-0.1,3.3222,0.32220000000000004,3.2222,240.0,True
140,6,G1,movimiento_lineal,12.0,1.9,112.0,201.9,-0.1,3.3246,0.32460000000000006,3.2246,240.0,True
141,6,G1,movimiento_lineal,12.0,2.0,112.0,202.0,-0.1,3.327,0.32700000000000007,3.227,240.0,True
142,6,G1,movimiento_lineal,12.0,2.1,112.0,202.1,-0.1,3.3294,0.3294000000000001,3.2294,240.0,True
143,6,G1,movimiento_lineal,12.0,2.2,112.0,202.2,-0.1,3.3318000000000003,0.3318000000000001,3.2318000000000002,240.0,True
144,6,G1,movimiento_lineal,12.0,2.3,112.0,202.3,-0.1,3.3342,0.33420000000000005,3.2342,240.0,True
145,6,G1,movimiento_lineal,12.0,2.4,112.0,202.4,-0.1,3.3366000000000002,0.33660000000000007,3.2366,240.0,True
146,6,G1,movimiento_lineal,12.0,2.5,112.0,202.5,-0.1,3.339,0.3390000000000001,3.239,240.0,True
147,6,G1,movimiento_lineal,12.0,2.6,112.0,202.6,-0.1,3.3414,0.34140000000000004,3.2414,240.0,True
148,6,G1,movimiento_lineal,12.0,2.7,112.0,202.7,-0.1,3.3438,0.3438000000000001,3.2438,240.0,True
149,6,G1,movimiento_lineal,12.0,2.8,112.0,202.8,-0.1,3.3462,0.3462000000000001,3.2462,240.0,True
150,6,G1,movimiento_lineal,12.0,2.9,112.0,202.9,-0.1,3.3486000000000002,0.3486000000000001,3.2486,240.0,True
151,6,G1,movimiento_lineal,12.0,3.0,112.0,203.0,-0.1,3.351,0.3510000000000001,3.251,240.0,True
152,6,G1,movimiento_lineal,12.0,3.1,112.0,203.1,-0.1,3.3546,0.3546000000000001,3.2546,240.0,True
153,6,G1,movimiento_lineal,12.0,3.2,112.0,203.2,-0.1,3.3582,0.35820000000000013,3.2582,240.0,True
154,6,G1,movimiento_lineal,12.0,3.3,112.0,203.3,-0.1,3.3618,0.36180000000000007,3.2618,240.0,True
155,6,G1,movimiento_lineal,12.0,3.4,112.0,203.4,-0.1,3.3654,0.36540000000000006,3.2654,240.0,True
156,6,G1,movimiento_lineal,12.0,3.5,112.0,203.5,-0.1,3.369,0.3690000000000001,3.269,240.0,True
157,6,G1,movimiento_lineal,12.0,3.6,112.0,203.6,-0.1,3.3726000000000003,0.37260000000000004,3.2726,240.0,True
158,6,G1,movimiento_lineal,12.0,3.7,112.0,203.7,-0.1,3.3762,0.3762000000000001,3.2762,240.0,True
159,6,G1,movimiento_lineal,12.0,3.8,112.0,203.8,-0.1,3.3798,0.3798000000000001,3.2798,240.0,True
160,6,G1,movimiento_lineal,12.0,3.9,112.0,203.9,-0.1,3.3834,0.3834000000000001,3.2834,240.0,True
161,6,G1,movimiento_lineal,12.0,4.0,112.0,204.0,-0.1,3.387,0.38700000000000007,3.287,240.0,True
162,6,G1,movimiento_lineal,12.0,4.1,112.0,204.1,-0.1,3.3906,0.39060000000000006,3.2906,240.0,True
163,6,G1,movimiento_lineal,12.0,4.2,112.0,204.2,-0.1,3.3942,0.3942000000000001,3.2942,240.0,True
164,6,G1,movimiento_lineal,12.0,4.3,112.0,204.3,-0.1,3.3978,0.39780000000000004,3.2978,240.0,True
165,6,G1,movimiento_lineal,12.0,4.4,112.0,204.4,-0.1,3.4014,0.40140000000000003,3.3014,240.0,True
166,6,G1,movimiento_lineal,12.0,4.5,112.0,204.5,-0.1,3.4050000000000002,0.405,3.305,240.0,True
167,6,G1,movimiento_lineal,12.0,4.6,112.0,204.6,-0.1,3.4086,0.4086000000000001,3.3085999999999998,240.0,True
168,6,G1,movimiento_lineal,12.0,4.7,112.0,204.7,-0.1,3.4122,0.41220000000000007,3.3122,240.0,True
169,6,G1,movimiento_lineal,12.0,4.8,112.0,204.8,-0.1,3.4158,0.4158,3.3158,240.0,True
170,6,G1,movimiento_lineal,12.0,4.9,112.0,204.9,-0.1,3.4194,0.41940000000000005,3.3194,240.0,True
171,6,G1,movimiento_lineal,12.0,5.0,112.0,205.0,-0.1,3.423,0.42300000000000004,3.323,240.0,True
172,6,G1,movimiento_lineal,12.0,5.1,112.0,205.1,-0.1,3.4278,0.4278,3.3278,240.0,True
173,6,G1,movimiento_lineal,12.0,5.2,112.0,205.2,-0.1,3.4326,0.43260000000000004,3.3326,240.0,True
174,6,G1,movimiento_lineal,12.0,5.3,112.0,205.3,-0.1,3.4374000000000002,0.43740000000000007,3.3374,240.0,True
